Source;Target;Weight
300;301;121
512;299;670
301;300;504
401;457;1
512;1;5
512;1;28
19;47;619
687;310;11
300;301;74
634;681;20
466;183;2
225;574;5
584;582;1
584;582;28
466;183;3
584;582;11
466;42;55
480;210;1
267;269;1
269;267;112
678;470;18
222;471;9
222;471;2
222;471;201
152;405;110
471;222;38
289;578;5
289;578;4
289;578;1
90;91;111
269;267;67
267;269;9
669;283;83
289;578;2
42;466;45
139;546;743
139;546;743
474;639;169
289;578;2
19;47;74
341;89;22
341;89;23
278;31;8
218;382;3
514;278;2
278;514;13
172;640;659
696;306;1
19;595;286
382;218;104
12;13;1
12;13;1
256;845;55
76;31;7
72;73;143
561;631;515
12;13;1
12;13;1
297;374;3
289;578;1
650;136;142
12;13;1
12;13;1
24;82;199
121;288;2290
289;752;18
640;172;7
81;374;36
622;39;1
8;419;1
419;8;1
8;419;1
419;8;48
622;39;34
8;592;68
39;622;3
622;39;61
668;252;1
252;668;28
121;288;26
651;623;1
651;623;5
651;623;5
651;623;4
623;651;105
651;623;31
49;171;101
185;210;20
622;39;99
185;210;142
720;342;1
342;720;52
342;720;1
90;91;604
678;470;21
714;243;1
714;243;1
491;208;2
91;90;4
208;491;2
91;90;4
467;207;1
467;560;15
491;208;3
208;491;264
243;714;57
688;405;1
185;210;60
90;91;81
185;210;4
185;210;2
210;185;26
744;133;44
171;49;111
424;785;1
623;651;358
128;208;1
49;357;358
92;676;1
92;676;1
623;651;108
623;651;365
221;52;5
771;547;27
221;52;1
688;405;6
225;337;1
49;357;307
578;289;124
208;1;19
49;357;154
59;438;103
59;438;103
337;225;475
289;578;112
152;405;1
39;622;101
96;190;2
677;652;1
677;652;3
89;341;24
27;371;2
301;300;23
652;677;53
342;401;109
401;169;58
449;47;203
401;169;58
449;47;41
401;342;87
167;423;1
167;423;2
12;492;112
49;48;69
267;268;165
652;677;1
4;424;16
645;235;1
235;645;63
567;386;33
39;622;2
622;39;1
622;39;1
39;622;231
91;90;273
441;580;48
580;441;2
21;20;1
21;20;1
21;20;1
390;683;1
21;20;18
341;89;1
424;266;171
289;578;21
512;36;3
643;567;1
289;752;3
91;90;343
111;421;27
595;19;35
172;640;3
788;394;1
394;788;2
788;394;71
495;420;1029
495;420;1029
468;116;14
683;390;1
683;363;63
354;666;22
390;683;1
273;397;3
194;294;19
1;512;3
273;585;1
273;585;1
678;470;3
397;273;42
678;470;1
36;512;45
36;512;1
470;678;40
812;179;10
190;372;22
140;830;2
136;137;25
137;136;134
140;830;2
140;830;1
701;248;46
221;4;82
221;4;82
8;419;1
8;419;1
688;158;30
420;495;1
420;495;3
428;206;133
812;656;24
595;19;34
495;420;5
495;420;43
495;420;43
420;495;1057
420;495;1057
623;651;229
20;21;128
578;289;128
289;578;7
505;572;50
589;291;1
578;289;75
572;505;1
572;505;1
572;505;1
572;505;2
572;505;16
88;572;36
88;572;10
362;495;1
401;190;2
267;269;66
623;651;521
267;269;56
494;57;1
225;337;1
49;48;76
678;470;84
845;256;48
337;225;3
337;225;144
269;267;9
269;267;31
256;845;17
391;617;478
27;371;98
337;225;59
420;495;273
420;495;271
578;176;1300
96;780;30
20;21;364
455;129;1
91;90;1
21;20;4
39;622;9
21;20;2
20;21;21
578;289;62
21;20;1
21;20;1
428;206;1
640;172;1
567;676;23
428;206;79
20;442;2
428;206;1
428;206;30
206;428;3
428;206;41
639;474;1
474;639;1
435;782;33
495;420;40
495;420;40
185;210;44
299;237;33
51;75;1
51;75;1
388;506;51
356;210;1
356;210;1
356;210;1
185;356;3
356;210;60
356;210;60
75;51;197
472;537;3
736;207;1
145;146;83
644;415;44
19;595;55
554;638;36
214;430;44
415;158;2
21;20;48
6;406;52
557;419;19
63;805;148
289;578;55
638;554;11
670;344;10
670;344;53
405;152;19
682;383;64
289;752;26
278;335;27
656;179;36
643;92;67
279;617;84
279;617;98
569;465;3
623;651;1328
301;300;26
266;418;83
569;465;2
444;801;13
801;444;99
304;163;25
569;465;1
289;578;1
145;146;1
145;146;1
289;578;46
145;146;1
697;202;22
146;145;1440
145;146;995
289;578;14
403;268;2
91;90;4
90;91;127
390;683;1
289;578;92
289;578;194
652;677;1
39;622;39
335;278;14
278;335;7
278;335;6
278;335;9
677;652;1
677;652;2
267;403;24
449;47;3
449;47;3
267;403;7
622;39;118
260;459;1
459;260;75
652;677;1
677;652;3
23;51;21
677;652;2
521;268;205
420;495;1
677;652;1
420;495;3
33;709;26
21;20;2
20;21;463
495;420;123
495;420;123
49;48;218
405;688;65
632;491;1
420;495;1
420;495;3
420;495;1
420;495;1
301;300;1
527;314;2
314;527;201
314;527;1
688;405;25
805;459;21
575;50;159
638;554;1
397;212;21
541;367;53
424;785;89
212;397;1
397;212;68
640;172;57
397;212;1
204;64;54
551;640;28
640;95;28
640;172;71
474;304;39
95;640;1
95;640;51
356;210;1
356;210;1
381;416;18
356;210;2
356;185;4
356;210;2
356;210;1
356;210;1
356;185;47
128;208;1
445;199;28
147;492;2
492;147;1
561;631;59
21;20;40
561;631;19
543;403;17
289;578;1
615;507;4
424;785;30
845;228;29
615;507;4
444;801;2
495;420;248
569;465;87
521;268;25
578;289;35
399;469;1
268;521;37
97;578;1
97;578;1
97;578;73
578;97;24
399;469;1
185;356;38
588;395;1
572;505;1
720;342;170
578;289;2
289;578;171
446;106;287
207;560;24
207;560;9
652;677;12
651;623;83
651;623;208
586;774;19
207;560;1
560;207;11
379;339;31
420;495;1
289;578;135
301;300;40
495;420;154
39;622;4
136;137;1
39;622;147
194;294;51
539;526;1
557;419;5
557;8;1
8;557;24
39;622;46
39;622;1
39;622;60
48;49;2
49;48;76
48;49;2
681;634;42
634;681;21
314;527;5
561;173;7
91;90;154
557;419;1
335;278;57
90;91;68
300;301;14
21;20;2
21;20;3
21;20;2
21;20;1
21;20;3
21;20;4
21;20;2
21;20;1
21;20;1
20;21;12
173;561;340
21;20;1
21;20;1
21;20;1
207;677;2
207;677;43
173;561;340
221;324;2
221;324;2
221;324;2
221;324;1
221;324;1
221;324;2
221;324;1
221;324;2
221;324;1
221;324;2
221;324;1
221;324;3
221;324;1
221;324;9
221;324;1
221;324;4
221;324;1
297;374;35
405;688;22
301;300;10
636;473;24
396;641;16
656;179;81
444;402;1
402;444;1
474;639;1
677;652;2
49;357;1
677;207;1
677;207;1
652;677;1
677;652;2
91;90;1
90;91;71
652;677;1
677;652;92
49;357;110
623;651;4
640;95;72
628;116;34
152;405;1
405;152;3
21;20;1
152;405;6
152;405;24
21;20;1
557;419;2
341;504;3
21;20;1
91;90;396
8;557;11
465;569;49
578;289;108
651;623;6
386;92;74
549;161;60
269;543;1
95;640;1
95;640;23
292;325;28
91;90;1
424;266;3
49;357;50
267;403;71
49;357;11
260;459;88
289;578;2
455;282;20
455;282;2
578;289;1
289;578;1
289;578;1
578;289;69
657;236;1
466;269;96
119;175;2
623;651;195
405;152;1
688;405;6
88;254;66
331;257;340
175;119;26
485;472;1
521;268;26
267;403;52
13;583;2
13;583;1
240;406;25
91;90;114
58;672;1
634;681;52
671;813;1
682;405;15
280;485;52
175;119;26
58;672;1
589;291;1
569;465;11
711;200;1
49;48;134
695;317;94
355;538;58
152;688;27
688;405;1
244;25;65
106;446;4
289;578;24
289;578;29
136;137;7
466;412;23
382;218;132
564;254;14
109;308;166
342;372;1
342;372;2
744;80;1
131;280;1
301;300;107
37;36;10
48;49;1
36;37;876
49;357;59
79;201;1
201;79;9
49;357;15
405;688;19
744;80;72
678;470;129
131;280;1
289;578;22
131;809;10
131;280;1
280;131;342
280;131;473
300;301;12
622;39;676
300;301;2
300;301;1
301;300;53
39;622;513
540;265;1
143;310;1
310;143;1
697;202;1
202;697;84
507;615;3
615;507;104
91;90;166
345;396;3
33;242;1
289;578;49
6;27;2
289;578;100
420;495;93
560;359;188
27;6;8
678;470;4
388;506;15
388;506;15
681;634;1
56;506;60
56;506;59
495;420;12
506;56;13
56;506;9
56;506;9
283;580;1
177;100;21
283;441;1
678;470;1
678;470;1
678;470;4
678;470;2
678;470;2
143;310;21
485;472;33
678;470;4
470;678;102
151;69;5
151;69;1
96;583;3
583;96;1
96;583;2
283;580;130
283;441;1
236;472;7
310;143;13
503;13;1
503;13;1
405;688;39
441;283;250
405;688;1
661;683;43
272;166;60
166;272;4
272;166;46
166;272;15
371;578;27
37;36;240
85;446;146
578;371;1
578;371;1
578;371;1
578;371;1
166;272;24
537;472;11
272;166;2
13;503;1
503;13;1
13;503;1
503;13;1
503;13;24
503;13;1
503;13;24
472;194;39
151;69;1
492;147;55
677;324;63
346;636;246
221;107;1
221;107;1
147;492;2
120;314;2
772;218;38
314;120;2
120;314;13
120;314;2
37;36;25
314;120;53
301;300;108
242;33;27
580;283;14
578;176;1
289;578;1
147;492;46
147;492;51
492;147;1
147;492;20
405;688;157
289;578;1
677;207;1
677;207;1
798;472;1
845;486;1
845;486;1
268;521;493
578;176;2
96;109;1
69;263;29
96;780;4
780;96;111
300;301;87
491;208;40
491;285;21
615;507;25
324;221;120
324;263;85
263;221;87
623;651;1203
263;221;2
263;324;15
263;324;8
263;221;3
324;221;2
466;173;6
623;651;179
263;221;4
221;263;39
681;634;13
208;491;1
13;503;260
13;503;1
13;503;260
20;21;1
615;507;42
21;20;18
491;208;39
521;268;463
420;495;306
386;643;1
92;567;1
639;474;1
474;639;26
471;68;1
19;595;155
639;474;25
569;465;70
569;465;13
420;495;18
139;546;3
214;430;14
214;430;72
430;214;2
214;430;25
300;301;2
300;301;3
300;301;1
300;301;1
546;139;157
546;139;157
472;485;29
382;218;800
474;57;2
485;280;40
466;689;3
491;208;4
273;262;114
95;551;1
95;551;2
551;95;48
688;405;1
551;95;19
136;137;81
139;546;54
139;546;55
406;6;104
657;459;61
657;489;117
485;280;1
449;47;84
485;280;12
513;405;18
152;405;9
289;578;35
19;595;246
640;172;713
420;495;1
19;595;227
436;522;8
37;36;174
623;651;572
495;420;126
623;651;349
92;567;1
522;436;1245
36;37;4
106;559;64
37;36;15
681;634;1
634;681;146
401;457;3
457;401;1
401;457;13
401;457;3
379;584;1
601;340;61
207;677;4
707;331;1
267;403;22
52;295;35
688;405;61
560;207;1
560;736;2
207;560;1
560;207;1
736;560;21
202;697;46
471;68;35
448;208;27
634;681;1
688;405;38
681;634;1
325;427;2
325;427;16
36;512;34
164;304;11
681;634;1
678;470;2
567;92;24
634;681;55
145;146;18
666;354;30
666;354;31
88;572;8
560;359;74
359;560;10
289;578;156
788;394;18
551;95;28
639;474;30
557;419;1
331;257;23
551;394;1
394;551;35
90;91;3
623;651;58
331;257;1
325;292;1
449;47;3
301;300;1
586;129;1
491;632;13
263;190;5
263;190;2
49;3;39
192;203;1
133;299;4
133;237;12
37;69;26
578;289;130
436;522;3
93;562;1
47;449;92
152;405;27
152;405;6
703;474;1
272;166;181
397;273;6
136;137;1
137;136;12
144;560;26
560;144;2
218;382;13
401;190;2
500;364;2
364;500;42
617;391;120
144;560;8
266;4;1
266;4;1
266;4;2
4;266;42
266;4;89
531;250;4
359;560;7
531;250;3
681;634;45
222;471;88
250;531;27
634;681;3
358;90;1185
95;640;4
640;95;672
102;364;92
95;172;8
221;52;138
640;95;132
172;95;209
92;567;1
166;165;32
521;268;279
595;19;412
743;100;1
743;100;1
743;100;78
24;82;1
82;24;81
36;512;4
171;49;1
171;49;2
267;403;1
780;96;90
321;322;1
36;512;1
36;512;1
271;178;12
324;263;1
263;324;1
386;92;23
449;47;137
141;97;61
628;116;19
343;262;1
543;269;1
262;343;3
262;343;95
640;172;6
17;807;3
262;343;3
262;343;13
262;343;7
262;343;1
294;52;6
294;52;1
799;549;11
807;17;33
324;263;180
420;495;109
502;66;2
502;66;1
812;179;1
531;250;3
812;179;1
66;502;132
812;179;1
179;812;70
595;19;155
157;528;17
157;772;2
420;495;318
297;374;11
495;420;176
449;47;3
88;254;2
254;88;6
615;507;42
507;615;20
599;645;17
615;507;6
507;615;26
12;244;36
289;578;157
289;578;1
578;289;34
623;651;18
623;651;1
157;772;16
701;413;41
701;413;31
701;413;488
120;314;40
321;322;1
557;419;37
420;98;39
104;288;256
104;288;256
220;360;24
571;556;24
104;288;580
104;288;580
166;272;1
491;208;45
335;278;25
272;166;343
403;267;1
622;39;84
47;449;3
271;178;73
22;668;77
491;208;1
93;481;585
668;22;1
668;22;11
668;22;1
413;248;5
639;474;183
584;379;36
682;405;9
379;584;5
435;782;36
628;116;45
569;465;44
678;470;20
51;75;1
572;505;2
607;334;2
388;506;34
607;334;2
289;578;1
289;578;3
805;63;70
644;312;1
607;334;1
94;158;1
334;607;26
567;676;75
394;788;49
119;122;3
701;174;1
701;174;1
91;90;2
94;158;14
158;688;55
405;152;3
405;152;5
682;405;46
701;174;138
535;240;1
701;174;1
701;174;102
289;578;5
301;300;15
48;49;1
48;49;1
49;48;178
623;651;4
401;190;1
651;623;723
190;401;28
304;164;1
549;799;30
225;337;59
120;314;25
301;300;15
703;474;1
474;703;53
598;70;130
256;553;1
492;12;2
331;257;139
256;553;1
492;12;1
19;47;286
785;424;1
424;785;2
158;94;228
785;424;1
561;631;307
688;178;454
144;560;43
512;36;249
491;208;5
144;560;6
300;301;45
90;358;4
358;90;384
23;51;2
23;51;2
36;37;2
39;622;122
521;268;19
227;174;1
227;174;1
227;174;1
201;355;1
289;578;25
572;505;331
300;301;19
634;681;53
571;556;186
457;401;1
401;190;1
457;401;38
457;401;22
21;20;1
258;561;154
299;237;43
63;805;39
37;36;1
258;561;154
36;37;1
37;36;408
12;244;1
90;64;23
90;91;155
90;358;5
90;358;34
90;358;1
90;91;5
90;91;2
91;90;203
37;36;33
427;325;1
427;325;1
300;301;1
221;4;17
49;48;3
90;91;348
799;549;66
799;549;14
394;788;37
106;672;1
106;446;463
48;49;1
98;495;1
98;495;1
98;420;297
645;155;1
90;358;58
420;98;356
678;470;1
190;401;8
695;215;17
485;180;58
37;301;43
358;90;700
382;218;1
495;98;5
98;495;169
495;98;1
98;495;169
90;91;762
354;666;10
354;666;10
354;666;9
354;666;8
592;8;1
218;382;91
90;358;15
69;37;11
485;180;1
98;420;382
805;63;63
420;98;200
598;263;1
485;472;1
485;472;108
19;47;1
19;595;2
495;420;4
495;420;3
420;495;260
227;436;1
485;180;24
485;180;16
185;356;3
472;611;19
651;623;151
569;465;33
263;401;82
401;263;108
379;584;4
582;339;54
301;300;1
272;166;1
263;308;78
263;625;1
436;227;3
263;401;1
263;401;333
645;235;83
133;744;32
235;786;1
272;166;39
263;308;94
235;786;16
263;625;1
263;625;1
625;263;113
308;109;1
688;158;342
166;272;5
263;217;62
405;682;220
221;348;65
272;166;18
263;173;6
221;672;53
263;173;85
324;589;49
263;308;3
263;308;83
569;465;1
221;300;50
52;259;30
449;47;1
221;381;1
52;418;38
36;524;76
221;344;3
52;692;39
465;569;3
52;692;40
569;465;91
263;457;72
221;344;70
52;295;46
420;495;859
36;37;2
176;797;40
221;381;1
324;395;68
221;266;4
221;15;88
657;489;53
52;653;54
263;109;67
266;221;1
52;541;57
266;221;58
39;622;4
263;550;72
221;381;1
786;128;1
263;190;53
128;786;150
221;100;40
221;743;60
221;381;1
221;381;1
221;4;70
263;372;2
221;373;60
263;372;69
52;513;55
221;381;1
262;92;101
551;95;46
639;474;1
262;397;55
561;258;91
272;166;26
262;754;68
221;381;1
262;95;52
262;273;58
221;381;1
622;39;10
49;48;68
221;58;92
262;551;50
551;95;60
144;560;210
381;221;246
39;622;75
272;166;13
289;578;15
381;221;129
289;578;68
221;598;32
128;208;49
449;47;34
561;258;2
561;258;91
46;47;21
561;258;4
147;492;54
19;595;188
289;578;65
301;37;53
519;663;43
37;36;374
492;13;1
492;13;1
297;374;53
492;606;268
424;266;7
480;556;4
88;378;1
378;88;23
615;507;1
507;615;3
507;615;3
615;507;114
507;615;70
556;480;191
69;186;25
378;88;21
88;627;1
122;175;1
122;175;4
561;258;1
561;258;1
551;95;24
634;681;96
6;406;107
424;266;60
122;175;1
243;217;1
243;217;1
243;217;1
243;217;1
243;217;2
424;785;3
424;785;92
37;301;62
109;457;19
785;424;1
785;424;59
98;495;168
785;424;24
495;420;134
645;235;1
235;645;93
109;457;10
109;457;35
109;457;4
109;457;1
645;235;1
235;645;3
109;457;4
109;96;123
109;96;123
109;457;19
109;457;6
109;457;40
37;301;1
109;457;7
109;457;5
109;457;1
109;457;1
736;560;1
560;736;1
736;560;39
297;374;28
36;37;1
36;401;3
36;401;250
37;36;1
37;36;6
364;102;7
364;102;6
95;551;7
364;102;23
364;102;23
246;188;1
23;51;36
173;631;83
282;455;2
297;374;4
374;297;40
331;257;3
257;331;33
235;786;45
335;278;1
278;335;3
21;20;1
21;20;1
335;278;15
21;20;1
21;20;1
374;297;17
144;560;1
545;830;34
481;93;1
560;144;1
638;554;1
666;354;2
666;354;1
560;207;1
467;207;1
578;289;2
339;379;1
339;379;27
339;584;5
379;339;23
133;744;36
774;586;41
507;615;51
507;615;31
578;289;1
449;47;39
360;220;1
91;90;23
507;615;3
176;578;125
91;90;5
91;90;1
507;615;11
676;567;1
543;269;1
269;543;48
115;13;1
47;449;33
390;683;92
47;449;18
47;46;38
304;57;2
304;494;1
326;311;1
676;567;1
419;557;1
419;557;1
419;557;1
676;567;65
47;46;18
339;582;4
582;339;16
531;250;48
308;109;81
687;265;68
308;109;81
263;221;1
670;344;85
578;97;1
578;97;2
492;606;1
569;465;41
308;109;91
308;109;91
47;449;4
47;449;3
144;560;173
203;192;41
4;221;1
783;328;1
4;221;1
4;221;12
221;4;5
4;221;1
681;111;1
531;595;2
681;373;159
225;436;1
494;57;34
81;263;1
492;606;29
266;424;2
424;266;112
681;373;34
6;27;1
225;197;4
197;225;149
744;133;1
424;785;2
301;186;1
744;133;111
186;301;59
243;648;44
681;373;16
301;69;1
606;492;25
301;186;40
424;785;2
424;785;1
561;631;135
301;69;66
478;510;1
510;478;8
492;606;36
478;510;27
109;96;19
131;485;1
485;131;1
131;485;61
109;96;18
46;47;1
46;47;1
492;606;25
521;358;1
622;39;1
243;648;99
591;417;1
591;417;1
39;622;4
622;39;291
243;657;72
278;335;38
243;657;5
657;243;73
301;37;3
301;69;81
3;357;4
14;421;33
351;798;29
785;424;309
259;418;2
301;37;2
259;418;1
301;69;35
37;301;80
457;109;14
697;202;73
559;453;60
559;453;65
335;278;37
108;136;184
631;561;2
561;631;41
268;267;37
135;605;1
108;136;141
441;283;1
311;326;54
311;326;1
283;441;1
678;470;1
678;470;1
561;631;1
678;470;2
358;521;1
561;631;26
678;470;2
678;470;16
521;358;1
567;676;44
95;172;1
74;49;2
567;676;32
567;386;1
386;567;1
567;92;48
405;688;1
49;74;12
449;46;2
534;360;120
288;49;2
288;49;1
288;49;41
567;92;1
567;386;43
288;49;41
108;136;2
605;135;2
108;136;3
108;136;2
108;798;1
288;49;2
288;49;1
798;108;87
288;49;1
676;92;2
351;519;1
351;28;1
288;49;1
136;108;1
108;136;39
167;423;1
666;354;3
666;354;1
423;167;2
423;167;11
423;167;1
423;167;11
90;358;1
358;521;3
639;474;1
589;291;19
354;666;62
354;666;62
474;639;4
639;474;14
358;90;812
774;586;107
682;405;6
682;405;5
351;28;31
567;676;43
405;682;27
88;378;1
88;572;3
254;564;2
572;88;130
676;567;4
364;500;1
364;687;25
237;299;57
541;351;50
541;351;40
701;174;1
351;798;210
586;774;1
289;578;20
521;268;250
736;207;38
174;701;20
736;207;8
774;586;44
88;505;2
357;49;6
617;279;29
351;677;7
351;677;101
48;49;3
3;49;2
461;143;42
48;3;5
48;49;3
3;48;34
136;137;52
588;76;41
709;33;47
33;242;2
242;33;62
62;364;67
578;289;10
25;766;1
279;617;2317
25;766;5
25;766;116
354;666;16
354;666;15
176;141;6
395;291;1
291;395;1
709;33;100
401;288;1
401;288;7
176;578;50
96;470;18
92;567;10
146;611;4
560;359;7
560;736;1
560;207;1
405;152;2
405;688;39
207;736;2
280;472;30
37;36;1
37;36;1
37;36;2
688;178;1
688;405;21
13;699;3
13;699;1
564;254;1
254;564;1
482;444;189
482;444;190
101;291;1
36;37;142
331;257;49
491;422;1
491;422;31
491;422;4
422;491;63
631;561;10
39;622;819
698;499;4
491;422;46
331;257;3
331;257;1
499;698;65
499;698;1
499;698;398
136;137;1
512;1;3
20;21;1
21;20;7
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
575;59;1
678;470;3
611;146;1
575;59;27
67;785;1
149;359;1
359;149;11
424;266;3
424;4;2
785;67;25
274;510;1
711;200;100
6;406;1
639;474;1
4;424;1
640;172;1
474;639;349
190;372;214
600;374;1
600;374;1
289;578;2
289;578;3
578;289;59
802;5;1
6;406;3
802;5;95
146;145;1
4;344;1
4;344;1
146;145;2
701;413;8
90;358;1
358;90;1
90;358;1106
289;578;18
289;578;41
289;578;74
289;578;54
4;344;1
4;344;11
703;474;108
143;310;4
143;310;3
561;631;131
622;39;58
6;406;3
39;622;81
466;173;2
37;36;175
37;36;175
173;466;88
499;63;30
202;697;49
39;622;42
616;6;20
6;27;2
521;268;80
242;33;1
242;33;2
274;510;16
33;242;65
37;301;2
805;499;36
559;204;1
598;694;30
559;204;48
69;37;37
445;624;73
445;624;54
21;20;1
21;20;1
21;20;3
21;20;1
274;440;39
289;578;1
578;289;1
578;289;4
578;289;34
260;459;13
300;301;1
300;301;1
274;440;4
440;274;41
3;357;1
93;481;2
661;683;1
