Source;Target;Weight
661;683;31
661;683;119
802;5;31
578;176;107
617;279;46
557;419;1
146;145;1
557;8;1
557;8;1
146;145;1
146;145;1
20;21;18
20;21;8
4;424;1
278;335;18
21;20;1
21;20;9
20;21;28
419;557;3
145;146;887
419;557;1
419;557;2
419;557;1
557;419;1
278;335;17
419;557;192
419;557;192
267;269;166
221;4;24
774;586;11
221;4;28
578;289;75
331;257;3
331;257;3
289;578;40
47;449;7
47;449;3
331;257;3
405;682;32
682;405;37
682;405;10
137;454;1
137;454;1
91;90;80
137;454;1
359;560;61
424;266;1
137;454;1
137;454;1
454;137;486
424;785;53
424;4;2
701;174;1
21;20;2
20;21;22
4;424;1
331;257;3
677;351;270
677;351;1
424;4;119
351;677;8
165;166;15
91;64;3
785;424;1
436;522;1
359;560;1
322;113;1
694;598;1
522;436;2784
424;785;2
785;424;117
436;522;19
522;436;1
436;522;136
436;522;55
459;260;6
522;159;371
522;436;1
436;522;103
522;436;1515
289;578;1
258;561;1
267;403;3
403;267;40
258;561;4
139;672;38
183;685;2
258;561;1
388;481;9
258;561;5
623;651;4
227;174;99
651;623;215
225;574;1
4;507;2
623;651;449
479;492;1
300;301;1
300;301;1
300;301;52
492;479;4
492;479;2
289;578;122
578;97;2
225;574;1
386;567;1
643;386;110
90;91;1
91;90;38
278;335;1
419;557;111
448;185;71
419;557;111
628;116;37
335;278;46
584;582;2
584;582;22
289;752;43
289;578;1
405;688;36
47;46;250
289;578;1
278;335;13
448;149;1
289;578;1
448;149;38
578;289;83
405;152;2
278;335;31
289;752;3
301;69;15
152;405;49
424;785;2
785;424;81
424;266;1
144;560;56
785;67;14
424;4;1
364;102;37
364;102;37
521;268;69
149;448;25
4;424;19
650;136;166
448;149;53
561;631;218
424;4;119
48;49;1
49;48;3
782;465;1
465;782;41
47;46;29
491;208;3
651;623;1
225;574;1
682;405;10
13;583;1
13;583;1
39;622;459
37;69;39
149;448;1
149;448;1
448;149;45
786;235;99
786;235;196
272;166;2
639;474;11
682;330;1
682;330;1
682;330;17
666;354;54
666;354;54
703;845;67
289;578;3
354;666;23
90;91;5
91;90;1
420;495;1
495;420;4
289;578;29
90;91;184
628;468;1
628;116;43
436;225;4
289;578;13
69;133;18
85;106;9
341;504;1
341;504;1
341;504;1
85;106;5
85;106;11
85;106;38
474;639;34
85;106;3
682;405;1
405;682;2
405;682;1
682;405;20
405;682;2
405;682;2
405;682;2
495;420;89
85;106;1
85;106;6
595;19;75
85;106;7
85;106;1
465;569;34
595;19;30
623;651;1
165;781;1
165;781;1
289;578;2
688;158;1
688;158;1
665;572;489
651;623;1
688;158;1
688;178;1
178;688;1
688;178;21
379;339;15
682;405;59
560;359;1
360;220;87
144;560;26
681;634;7
49;48;2
37;69;1
37;69;1
490;797;2
300;301;1
300;301;23
474;90;4
688;405;12
799;549;18
207;736;33
688;405;3
48;49;1
48;49;1
557;419;1
634;681;24
13;583;2
13;583;1
583;13;481
106;672;1
583;13;482
342;720;1
37;301;1
66;502;20
634;681;2
681;634;10
37;301;143
37;69;143
495;420;781
268;521;2
48;49;1
85;446;9
380;704;776
358;90;1
23;51;2
200;711;2
23;51;3
200;711;2
23;51;2
51;23;19
49;48;184
19;47;5
19;47;118
211;736;9
48;49;126
186;52;6
300;301;59
85;106;347
144;560;1
560;144;9
560;144;267
560;144;1
560;144;1
560;144;2
358;90;5
144;560;1
454;259;1
37;301;28
37;301;6
235;599;1
235;599;1
335;278;1
454;259;1
578;176;1
578;289;307
636;473;1
636;473;1
636;473;1
636;473;1
636;473;2
636;473;77
636;473;1
636;473;77
687;540;303
37;301;1
37;348;1
52;472;1
472;52;7
472;52;38
449;47;2
299;237;2
299;237;5
47;449;17
47;449;11
37;36;1
299;144;4
144;299;4
250;531;1
250;531;1
250;531;1
250;531;7
48;49;2
49;48;2
250;531;9
250;531;3
250;531;66
388;195;1
388;195;69
364;102;1
237;299;1
364;102;2
374;297;52
678;470;2
517;252;60
374;297;23
470;678;46
678;470;1
678;470;5
678;470;8
388;506;10
289;578;4
578;289;281
104;470;60
297;374;12
272;166;1
166;272;5
144;560;1
560;144;6
557;419;1
419;557;30
557;419;2
405;682;11
572;665;22
419;557;30
144;560;87
158;94;1
178;682;1
94;158;1
178;682;3
94;158;31
846;374;27
186;69;1
158;688;101
243;714;4
152;405;45
634;681;64
301;69;2
207;736;4
48;49;103
405;152;2
289;578;3
69;268;1
96;780;190
628;116;45
301;37;1
268;69;2
676;567;1
47;449;3
13;115;26
449;47;83
466;173;149
47;46;2
47;46;2
37;36;110
37;36;110
301;300;45
69;268;133
116;628;35
736;560;76
171;208;114
185;356;1
36;37;1
36;37;1
36;37;17
36;37;17
157;772;1
405;682;2
49;3;63
289;578;1
567;676;60
356;185;25
578;176;2
578;176;1
331;257;37
578;289;184
578;176;3
171;208;19
176;578;2
176;578;1
444;39;176
137;136;12
595;19;137
639;474;1
474;639;3
474;639;1
175;122;1
39;622;6
673;188;17
622;39;118
639;474;1
632;274;44
474;639;173
225;574;1
102;364;2
331;707;23
627;180;50
424;670;4
153;612;5
153;612;5
144;560;23
144;560;1
300;301;13
634;681;1
670;424;98
19;595;2
670;424;52
595;19;173
221;75;76
221;75;76
23;485;1
500;142;2
102;364;34
102;364;34
512;1;16
584;339;20
652;677;49
297;374;31
263;342;48
263;342;18
299;237;46
254;665;6
572;254;1
254;665;35
572;254;1
91;90;4
424;266;3
664;51;43
190;193;27
736;560;1
560;736;10
190;372;32
301;300;21
485;48;16
485;682;2
485;405;1
683;390;2
390;683;106
3;357;1
3;357;36
612;153;27
612;153;1
153;612;1
612;153;45
601;340;1
116;628;19
628;116;1
628;468;1
322;321;178
628;116;19
206;428;1
405;485;22
51;664;2
52;294;1
37;301;25
37;69;2
356;185;7
324;68;1
363;252;1
144;560;1
144;560;1
6;27;2
144;560;1
1;208;174
180;627;1
371;300;73
600;499;3
27;6;1
6;27;4
27;6;97
600;499;3
1;208;6
335;278;2
208;1;2
455;282;6
449;47;65
449;47;72
47;449;1
640;95;3
172;95;22
687;310;10
301;300;1
39;622;3
601;483;133
683;390;18
676;567;1
676;567;1
676;567;1
676;567;1
676;567;1
39;622;2
96;109;7
96;109;6
96;109;35
96;109;2
578;97;1
424;266;1
569;465;1
310;265;56
465;569;43
397;212;22
92;386;39
212;397;25
527;699;3
441;461;1
461;441;137
699;527;6
699;527;1
527;699;1
527;699;9
527;699;42
268;521;2
268;521;3
337;225;1
622;39;64
39;622;2
622;39;236
69;186;14
289;578;75
16;572;1
561;631;1
322;321;178
455;129;1
129;455;3
455;129;1
580;283;1
580;441;31
540;687;1
540;265;19
405;682;4
405;682;3
640;172;1
405;682;2
474;90;4
90;474;51
634;681;1
651;22;65
474;90;5
289;578;17
48;49;1
586;180;1
48;49;1
441;283;1
91;90;4
91;90;3
119;105;46
119;325;1
5;802;2
379;584;3
379;584;3
584;379;24
465;569;6
48;49;2
592;8;31
48;49;2
49;48;72
268;269;2
96;780;3
314;120;63
74;470;3
74;470;1
74;470;2
74;470;4
74;470;4
74;470;30
179;193;1
268;521;19
268;69;1
682;405;32
266;4;44
682;405;57
720;342;16
144;560;1
560;144;1
682;405;18
472;485;1
193;179;1
325;427;1
90;91;43
179;193;36
472;537;19
537;472;23
37;36;73
561;631;1
37;36;74
622;39;69
640;95;2
172;95;79
394;542;41
527;699;1
527;699;84
33;242;48
95;172;26
578;289;2
252;517;184
527;699;11
136;137;1
269;268;203
527;699;14
91;90;80
640;95;4
289;578;4
395;589;6
172;95;4
137;136;13
774;586;1
289;578;66
178;271;51
394;542;35
711;348;30
136;137;1
137;136;50
137;136;15
144;4;17
683;363;1
677;700;1
51;664;126
492;147;1
561;631;205
147;492;111
13;219;1
15;672;1
21;20;1
21;20;1
21;20;1
21;20;1
21;20;1
21;20;7
15;672;14
492;147;1
104;288;62
672;15;1
15;672;1
672;15;55
104;288;62
688;405;1
405;688;2
688;405;26
147;492;103
444;402;1
444;402;3
39;622;86
47;46;133
802;5;1
104;288;1
104;288;5
104;288;5
402;444;18
402;444;18
49;48;1
372;342;56
49;48;1
48;49;77
21;20;68
96;470;33
672;85;239
331;257;51
504;341;38
561;631;54
47;449;15
394;542;1
394;542;2
542;394;31
578;641;1
578;641;1
521;268;27
47;46;50
405;688;45
504;341;52
225;337;2
641;578;68
337;225;93
683;390;2
595;19;209
578;289;211
561;631;1
335;278;2
335;278;2
341;504;24
449;47;49
47;449;1
278;335;28
278;335;16
335;278;11
561;631;32
390;683;1
683;390;120
578;289;1
578;641;1
641;578;25
578;289;61
268;521;37
237;299;95
158;688;143
482;444;957
289;578;2
482;444;957
289;578;1
578;289;54
46;47;26
327;105;1
327;105;1
578;176;1
155;350;3
327;105;1
256;65;70
6;27;1
27;6;1
140;224;15
140;224;15
560;736;39
327;105;45
327;105;9
492;13;1
634;681;1
634;681;1
28;508;3
578;176;1
105;175;61
119;122;154
71;593;41
578;176;2
28;508;27
137;136;12
634;681;1
136;137;1
105;175;61
106;85;2
634;681;35
572;665;102
243;648;12
634;681;123
12;492;64
634;681;16
119;105;1
119;122;34
58;672;110
15;58;70
15;58;77
289;578;2
185;356;21
105;327;1
119;105;4
105;119;14
111;373;60
631;561;3
97;333;30
111;373;30
578;289;42
97;333;59
578;289;15
268;521;1
15;672;1
468;116;35
405;688;1
405;688;1
780;470;1
151;333;1
333;151;23
157;772;81
252;363;94
21;20;169
289;578;10
692;702;1
692;702;2
598;694;4
702;692;1
640;95;13
702;692;1
692;702;73
692;702;73
692;702;27
692;702;27
677;700;2
315;552;1
315;552;1
449;47;67
480;556;473
169;288;10
169;288;1
288;169;1
169;288;42
169;288;42
190;372;60
492;12;1
492;147;92
640;172;2
169;288;8
169;288;1
372;342;55
225;197;38
299;237;128
147;492;38
47;449;35
147;492;58
492;147;23
147;492;9
356;210;1
356;185;1
356;185;71
356;185;1
356;185;72
736;560;1
435;782;7
640;172;116
702;637;43
661;413;89
58;15;4
58;15;4
560;736;4
736;560;32
634;681;386
225;337;1
337;225;52
846;191;23
736;560;15
736;207;1
449;47;3
652;677;106
677;652;14
678;470;434
413;661;25
830;140;67
140;830;2
140;830;2
449;47;18
449;47;94
147;492;25
12;25;29
351;28;1
47;449;103
47;449;15
47;449;100
28;351;49
351;28;72
351;28;41
480;556;1320
449;47;49
289;578;1
289;578;1
250;531;3
250;548;5
250;548;4
250;531;4
250;548;1
190;288;1
190;288;1
190;104;1
190;401;22
190;401;1
190;401;39
527;314;1
527;314;2
678;470;1
678;470;2
678;190;13
225;337;2
207;736;2
13;11;2
617;279;4
74;104;1
217;401;10
372;401;22
470;678;79
300;301;89
300;301;26
210;185;38
104;288;1
104;288;7
37;301;1
37;301;1
503;524;12
503;524;1
301;37;48
357;3;1
12;13;1
140;830;30
36;37;280
36;37;281
441;283;1
441;283;33
692;702;1
133;744;102
692;702;4
351;28;17
351;28;19
485;166;71
485;3;210
560;736;1
785;67;1
802;5;1
524;503;5
524;503;1
785;67;145
736;560;42
678;470;2
543;403;12
572;505;1
572;505;1
678;470;1
678;470;2
470;678;291
572;505;1
424;266;3
424;266;4
424;266;385
47;449;35
47;46;43
47;46;1
47;449;1
638;554;209
220;360;35
360;352;1
360;352;1
3;357;32
7;791;1
465;569;1
683;390;2
678;190;1
743;300;213
68;471;2
446;106;1
106;446;3
446;106;1
106;446;1
106;446;1
106;446;1
106;446;3
436;225;1
225;436;42
225;436;42
736;560;9
3;49;2
3;49;21
106;446;5
707;331;15
736;207;21
207;736;3
207;736;2
207;736;2
736;207;35
640;95;2
95;640;3
301;300;1
95;640;3
301;300;1
424;266;3
424;266;2
424;670;3
266;424;2
424;266;101
289;578;2
444;402;2
402;444;33
736;207;56
560;359;1
91;90;3
67;785;2
785;67;678
79;117;1
444;402;21
424;670;9
448;208;17
48;49;96
560;359;55
674;673;1
47;449;3
578;289;94
260;459;1
459;260;318
47;449;38
136;654;41
359;560;1
359;560;1
207;560;24
560;207;43
736;560;28
36;37;623
36;37;623
225;337;68
145;146;1032
560;207;70
560;359;1
359;560;1
480;556;749
480;556;5
556;480;2
480;556;602
480;556;709
459;260;8
446;106;1
106;446;328
634;681;1
634;681;1
634;681;1
634;681;1
225;337;1
300;301;43
485;3;1
357;3;1
578;289;582
622;39;96
622;39;23
39;622;77
601;340;86
152;405;16
220;352;2
152;405;2
152;405;5
666;354;1
354;666;14
666;354;1
354;666;14
444;402;17
220;374;144
220;352;51
330;682;3
250;531;69
595;19;1
321;322;723
651;623;1
623;651;156
106;446;1
147;492;27
490;797;2
300;301;17
797;490;34
681;634;1
420;495;154
394;788;67
91;90;233
634;681;1
415;644;8
681;634;1
634;681;15
397;273;6
273;585;81
273;585;1
554;638;11
652;677;87
474;639;1
420;495;65
652;677;1
3;357;32
98;420;1
687;265;31
98;420;78
495;420;18
49;357;51
47;449;1
449;47;262
47;449;78
405;152;27
403;543;30
640;172;596
47;449;4
683;390;3
744;133;18
129;586;17
37;301;2
682;405;40
785;424;1
424;785;37
19;595;30
688;405;1
300;301;9
289;578;2
578;289;1
578;289;2
289;578;1
578;289;1
289;578;2
578;289;413
335;278;2
335;278;1
278;335;18
480;210;1
90;91;34
210;480;1
480;210;50
13;12;1
688;405;38
12;13;4
13;12;1
13;12;1
13;12;52
91;90;11
569;465;30
703;474;1
423;644;20
474;703;66
144;560;1
560;144;55
37;301;38
321;322;723
548;531;1
146;176;170
634;681;79
48;49;145
208;491;66
272;295;4
491;208;30
405;688;13
20;21;42
354;666;23
354;666;23
422;208;11
354;666;26
354;666;25
144;560;1
144;560;1
185;210;1
144;560;1
632;274;1
16;572;4
48;49;140
48;49;32
785;424;887
560;736;24
492;606;404
551;95;27
551;172;6
652;677;1
677;652;83
652;677;16
358;521;1
37;36;42
37;36;42
37;36;1
584;379;16
628;116;39
682;383;4
682;383;3
383;682;51
37;69;1
297;374;8
69;37;21
85;106;1
85;106;2
321;322;18
85;106;1
427;325;36
736;560;23
578;289;109
444;402;1
464;220;72
490;682;1
91;90;174
449;47;4
47;449;93
628;116;1
666;354;30
666;354;30
116;628;33
4;344;1
4;344;13
637;702;38
37;301;1
48;49;47
263;221;17
812;179;1
812;179;1
466;173;1
628;116;1
95;598;1
491;632;40
95;598;3
179;812;1
173;466;144
804;533;1
474;639;1
344;4;99
96;780;2
428;206;9
376;114;22
474;639;179
85;446;4
244;12;49
244;766;8
90;91;101
85;446;567
648;243;864
466;173;11
557;419;58
557;419;58
91;90;62
521;358;1
48;49;62
358;521;25
190;342;2
177;100;13
335;278;2
658;699;1
321;322;19
278;335;10
278;335;1
278;335;3
278;335;1
507;615;3
615;507;60
85;446;4
85;446;4
85;446;4
85;446;4
207;677;1
299;237;67
578;176;8
578;176;1
176;578;156
651;623;5
37;301;4
300;301;2
441;580;1
580;441;95
623;651;1058
39;622;3
622;39;87
266;221;127
300;301;19
300;301;2
300;301;32
289;578;3
21;20;6
21;20;2
21;20;2
21;20;2
20;21;46
21;20;2
678;470;2
678;470;1
678;470;16
88;665;1
239;357;17
91;90;188
289;578;2
100;15;2
100;344;33
100;15;2
448;356;1
356;448;124
448;356;2
133;744;106
356;448;123
133;69;1
69;133;1
136;137;1
133;299;1
299;133;33
176;578;48
485;415;66
446;106;150
557;419;3
19;595;135
557;419;1
557;8;19
289;578;1
585;273;2
374;297;29
569;465;28
382;218;28
21;20;17
289;578;2
444;801;1
21;20;1
21;20;1
21;20;1
21;20;1
20;21;53
356;185;1
356;210;1
106;672;38
21;20;33
96;780;17
20;21;11
21;20;14
20;21;5
535;614;20
266;424;85
480;210;1
278;335;3
278;335;60
210;480;45
47;449;31
4;221;1
4;221;49
278;335;73
4;743;12
321;322;1
300;301;2
300;301;75
278;31;1
744;133;74
830;257;4
830;118;43
289;752;3
289;578;3
166;165;18
651;623;1
47;449;1
47;449;13
446;85;226
90;91;60
267;269;2
446;85;678
91;90;171
561;631;1
91;90;135
702;637;74
631;561;1
90;91;19
19;595;86
90;91;131
702;637;3
91;90;4
561;631;190
269;267;124
491;208;74
90;91;241
459;260;6
260;459;132
90;91;131
696;306;636
623;651;51
289;578;1
88;324;22
278;335;3
278;335;2
634;681;1
331;707;18
707;331;13
300;301;63
39;622;252
4;266;59
560;736;1
4;266;7
4;424;14
4;424;1
424;4;110
682;330;1
531;250;27
121;288;1
121;288;1
297;374;3
374;297;27
572;665;107
420;495;1
22;668;1
480;210;46
595;19;319
572;254;3
254;572;36
736;560;1
356;210;1
356;210;1
356;210;1
356;210;1
356;185;4
668;22;1
356;210;1
356;185;1
495;420;208
560;736;19
537;472;5
170;843;1
645;235;37
492;479;5
586;774;11
736;207;1
104;288;1
207;736;25
468;116;3
468;628;4
468;628;2
22;668;40
435;782;2
383;682;1
481;93;1
421;111;3
421;111;2
383;330;1
111;421;114
116;468;27
441;580;1
441;283;1
330;383;32
383;330;1
744;381;10
600;499;134
21;20;1
21;20;2
20;21;21
20;21;29
677;634;3
677;681;25
207;560;12
799;549;25
225;522;4
47;449;46
331;257;3
606;492;171
98;420;42
505;572;3
505;572;2
424;670;13
572;505;23
399;469;1
399;469;1
399;469;1
670;424;1
49;48;340
47;449;67
650;136;11
48;49;24
595;19;60
38;261;5
419;557;1
225;337;166
47;449;1
225;574;112
459;260;2
799;549;43
491;208;41
449;47;1
47;449;31
225;197;1
137;136;65
197;225;194
289;578;1
47;46;42
225;197;2
137;136;1
402;444;11
136;137;17
197;225;66
289;578;30
569;465;39
640;172;96
208;491;92
632;491;21
137;136;18
136;137;1
137;136;1272
289;578;279
49;48;103
49;48;30
13;12;2
197;225;26
208;632;3
401;666;65
401;666;64
491;632;1
273;397;135
491;208;5
449;47;4
491;285;10
117;79;193
491;208;24
632;208;72
522;225;86
491;208;15
289;578;50
335;278;24
405;688;1
688;405;255
136;137;5138
455;809;5
455;809;2
561;631;1
561;173;6
91;90;1
90;91;41
681;111;1
111;681;58
681;111;1
681;111;1
111;681;51
681;111;1
111;681;99
136;137;11
136;137;3022
623;651;110
137;136;43
297;374;1
98;420;1
499;63;41
374;297;36
623;651;5
623;651;7
405;688;1
688;405;21
623;651;174
623;651;176
480;210;10
424;266;3
266;424;96
246;188;53
636;473;165
623;651;4
830;118;1
289;578;155
405;682;1
289;578;3
578;289;1
289;578;65
628;116;7
578;289;194
682;405;1
472;537;1
269;543;1
419;557;1
651;623;1
419;557;1
390;683;283
681;634;1
681;634;1
623;651;4
697;202;14
606;492;32
282;455;1
561;173;1
262;754;48
492;606;30
651;623;232
405;152;1
405;152;53
297;374;11
173;561;117
152;405;7
678;470;111
268;280;27
682;383;101
49;3;164
736;207;25
382;218;1
382;218;14
21;20;44
268;280;16
470;678;1
218;382;98
49;48;1
48;49;2
69;301;41
707;331;13
677;207;1
688;405;39
688;405;32
126;537;3
537;126;20
537;126;16
692;702;1
702;692;28
692;702;3
702;692;28
49;48;172
297;441;2
485;179;1
48;49;3
221;373;47
207;677;24
48;49;2
49;48;32
378;476;1
378;476;1
485;179;1
784;547;53
578;289;5
220;374;1
736;207;1
179;485;25
359;560;1
221;373;22
492;479;28
560;359;2
560;207;1
263;176;23
578;289;2
359;560;1
289;578;18
677;207;1
290;342;76
371;532;86
260;459;1
521;268;17
100;15;82
485;3;1
254;378;8
88;254;3
88;378;9
254;378;6
254;378;6
254;378;13
254;378;1
254;378;1
254;378;1
254;378;1
254;378;6
254;378;6
254;88;3
88;254;2
3;485;20
534;360;4
100;15;14
360;534;3
534;360;6
360;534;59
354;666;11
254;378;2
254;378;3
623;651;1
88;378;1
651;623;150
88;476;1
606;492;1
108;798;10
688;158;2
666;354;1
158;688;86
278;335;3
378;88;26
15;344;1
15;344;1
378;254;3
623;651;266
666;354;1
485;3;10
378;476;1
378;476;1
378;476;1
378;476;1
378;476;1
378;88;123
378;88;18
378;476;1
401;666;1
401;666;1
237;299;2
688;405;1
299;237;72
344;15;5
521;268;13
280;268;25
268;280;25
268;280;33
424;785;1
586;180;116
325;427;211
268;521;2
37;301;63
37;69;60
586;180;23
344;670;1
586;774;1
586;180;144
158;688;5
244;454;30
688;158;97
299;237;44
48;49;42
299;237;7
79;117;143
280;131;227
331;257;28
20;21;94
48;49;5
774;586;1
48;49;5
100;344;4
100;552;32
48;49;2
331;707;1
331;257;1
49;48;192
15;416;1
100;552;1
100;552;22
48;49;2
48;49;374
136;137;1
378;254;2
254;378;17
117;79;4
79;117;192
766;25;1
521;268;59
631;173;9
534;360;1
534;360;24
179;180;19
268;521;3
666;401;28
666;354;1
401;666;108
102;364;5
364;102;120
354;666;1
774;586;1
360;534;4
691;615;218
15;416;51
43;35;2
666;401;28
401;666;108
268;611;5
611;268;24
268;611;54
558;162;1
611;706;2
91;90;79
91;90;49
91;90;4
90;91;98
611;706;2
706;611;1
706;611;1
611;706;37
220;83;61
661;683;1
96;780;30
461;441;1
578;289;1
225;574;444
121;288;82
121;288;82
21;20;1
96;470;73
176;578;71
600;374;53
49;48;296
49;48;812
665;572;2
572;665;176
637;253;55
491;632;21
634;681;34
21;20;3
21;20;32
21;20;14
21;20;4
267;268;196
694;598;2
694;598;1
499;698;8
598;694;45
499;698;1
698;499;68
598;694;42
466;173;6
90;91;81
799;549;62
90;91;7
225;197;18
354;666;791
798;108;99
798;108;54
569;465;2
569;465;1
569;465;2
569;465;1
569;465;1
569;465;1
569;465;1
569;465;1
465;569;42
706;401;47
706;401;64
202;697;12
169;401;157
169;401;7
169;401;286
401;169;1
169;401;244
169;401;71
169;401;20
546;139;83
546;139;83
706;401;78
218;382;48
561;631;13
323;392;4
323;392;3